id,latitude,longitude
Crèches,"48.8304098039,",2.31664423864
Jardins,"48.8301958421,",2.31685561976
Equipement,"48.8357973162,",2.31794496166
Musée,"48.843146,",2.318431
Equipement,"48.8733220971,",2.31852694802
Crèches,"48.8932050003,",2.31885500051
Crèches,"48.8292739729,",2.31917117483
Crèches,"48.8504787364,",2.31953810168
Equipement,"48.8316305801,",2.31995588439
Crèches,"48.8888142833,",2.32057993664
Halte-garderie,"48.8845643986,",2.32154588848
Crèches,"48.893122817,",2.32158628262
Crèches,"48.88668614,",2.32189190757
Jardins,"48.8279665021,",2.32274052575
Crèches,"48.8751206838,",2.32330380309
Crèches,"48.8458805523,",2.32369087456
Crèches,"48.8938103137,",2.32426895364
Crèches,"48.8905199141,",2.32466372816
Crèches,"48.8904698522,",2.32553786109
Jardins,"48.8513839244,",2.32567720222
Halte-garderie,"48.8823355097,",2.32599884206
Jardins,"48.8319956168,",2.32622647242
Collèges,"48.8279650829,",2.32623121168
Equipement,"48.827965082,",2.32623121232
Jardins,"48.8943333747,",2.32654028798
Piscine,"48.8318200699,",2.32674127
Jardins,"48.8433265758,",2.32742298291
Crèches,"48.8895010693,",2.327635218
Crèches,"48.8895010693,",2.327635218
Jardins,"48.8527510148,",2.32796625519
Collèges,"48.8277627454,",2.32832131171
Equipement,"48.8224244183,",2.32835789578
Equipement,"48.8411422982,",2.3291079942
Collèges,"48.8915096417,",2.32968934518
Crèches,"48.8819291853,",2.32972391667
Crèches,"48.8904232369,",2.3301528857
Jardins,"48.8235465105,",2.33098050156
Jardins,"48.8916718498,",2.33166867317
Crèches,"48.8810422209,",2.33243959585
Crèches,"48.8658901741,",2.33263039329
Jardins,"48.8337945607,",2.33265565499
Collèges,"48.895833261,",2.33286740056
Collèges,"48.8443411137,",2.33291286353
Lycées,"48.8443411137,",2.33291286353
Equipement,"48.8946717548,",2.33455525069
Equipement,"48.8494997598,",2.33595366137
Jardins,"48.8270680517,",2.33597955523
Crèches,"48.8492835592,",2.33598812754
Crèches,"48.8517126825,",2.33605178833
Crèches,"48.8287123937,",2.33646976923
Crèches,"48.8287123937,",2.33646976923
Equipement,"48.8977459064,",2.33659912907
Jardins,"48.8864201816,",2.33696015616
Equipement,"48.877060336,",2.33787059055
Crèches,"48.8943519778,",2.33867466973
Halte-garderie,"48.840057689,",2.33890013258
Equipement,"48.8978680064,",2.33921933977
Crèches,"48.8912196107,",2.33968496458
Halte-garderie,"48.8740720014,",2.33975779422
Crèches,"48.8733082306,",2.34047452247
Crèches,"48.8303074112,",2.34123720036
Crèches,"48.8882701639,",2.34193238848
Equipement,"48.8759101283,",2.34214913759
Equipement,"48.8792084548,",2.34235203723
Jardins,"48.8342261185,",2.3424635248
Collèges,"48.879349455,",2.34273743722
Jardins,"48.8819955554,",2.3431232597
Jardins,"48.8258088721,",2.34317083
Lycées,"48.8813963034,",2.34360826187
Collèges,"48.8813963034,",2.34360826187
Jardins,"48.885340828,",2.34361457094
Equipement,"48.885036701,",2.34419168498
Halte-garderie,"48.861560551,",2.34425515634
Equipement,"48.8281830291,",2.34457685561
Equipement,"48.8193325878,",2.34458053294
Equipement,"48.8195042847,",2.34477795313
Piscine,"48.8779638246,",2.34489333603
Crèches,"48.8631266911,",2.34498948712
Crèches,"48.8801977955,",2.34531232667
Crèches,"48.8930939473,",2.34539644516
Crèches,"48.8904242308,",2.34621463094
Jardins,"48.8181108478,",2.34643812157
Crèches,"48.8474807033,",2.34682874751
Lycées,"48.8326962736,",2.34699553645
Collèges,"48.8326962736,",2.34699553645
Crèches,"48.8339541037,",2.34742085987
Equipement,"48.8434883964,",2.34759003947
Piscine,"48.844624831,",2.34768235847
Collèges,"48.8883492742,",2.34792802046
Crèches,"48.8296097837,",2.34829324425
Halte-garderie,"48.8296035862,",2.34830051162
Equipement,"48.8473240498,",2.34846788389
Crèches,"48.8654212256,",2.34855711986
Crèches,"48.8654212256,",2.34855711986
Crèches,"48.8698756981,",2.34906105473
Jardins,"48.8287579268,",2.34965460051
Equipement,"48.8443680206,",2.34981693438
Crèches,"48.8443308129,",2.3500107266
Equipement,"48.843226048,",2.35004023964
Jardins,"48.8396930048,",2.3504747957
Crèches,"48.8928079721,",2.35049846186
Equipement,"48.8931167649,",2.35065449997
Crèches,"48.8745640462,",2.35066127441
Piscine,"48.894602382,",2.3506698415
Equipement,"48.8883365158,",2.3507657488
Collèges,"48.8933861999,",2.35080194515
